awareness,confidence,correct,experiment_test,experiment_train,fold,model,participant,score,sub,window
-0.04031892475344862,0.15832202818556051,-0.23338075618560875,POS,POS,,LogisticRegression,,0.5031813909774436,AC,3
0.3306273986282616,0.3319062934114589,0.3374663079602795,POS,POS,,RandomForestClassifier,,0.49546835839598996,AC,3
-0.10230881179301493,-0.08924837581772409,0.0866420828203075,POS,POS,,LogisticRegression,,0.4701412337662338,AC,4
0.3332357144956918,0.3331683316247961,0.3335959538795125,POS,POS,,RandomForestClassifier,,0.4711931818181818,AC,4
0.09700890106580401,0.5564841210626456,0.08332739014323469,POS,POS,,LogisticRegression,,0.5578325581395349,MC,1
0.3276303966428296,0.3449208832016196,0.32744872015555065,POS,POS,,RandomForestClassifier,,0.5730325581395348,MC,1
0.4482394393894089,0.049121352114744124,-0.11322643184412368,POS,POS,,LogisticRegression,,0.5432255469755469,MC,2
0.3433519952786106,0.3280246747928463,0.32862332992854304,POS,POS,,RandomForestClassifier,,0.5431418918918919,MC,2
0.2933368533436665,0.10379091485121772,0.15605662157023042,POS,POS,,LogisticRegression,,0.5194224254742547,MC,3
0.3385588799269849,0.32937162815048393,0.3320694919225312,POS,POS,,RandomForestClassifier,,0.5292530487804877,MC,3
0.5215226825370364,0.07398815993762485,-0.286126027650101,POS,POS,,LogisticRegression,,0.5565174216027874,MC,4
0.343419335137448,0.32705095068573264,0.3295297141768193,POS,POS,,RandomForestClassifier,,0.5575452961672474,MC,4
0.13954221310435286,0.7351345404704044,-0.4003638919174547,POS,POS,,LogisticRegression,,0.5979539473684211,SD,1
0.3225414192252801,0.3506479140332669,0.326810666741453,POS,POS,,RandomForestClassifier,,0.5918782894736841,SD,1
0.3554368565083398,1.0186771676169104,-0.2738351790397113,POS,POS,,LogisticRegression,,0.622622305850154,SD,2
0.32318453231737965,0.3567038119866482,0.3201116556959722,POS,POS,,RandomForestClassifier,,0.6141789257612043,SD,2
0.3274250104735242,1.264858920994164,-0.10804621519965144,POS,POS,,LogisticRegression,,0.6536043956043955,SD,3
0.32031751922682483,0.3637318442438353,0.3159506365293398,POS,POS,,RandomForestClassifier,,0.63703663003663,SD,3
0.06143568191944451,0.9665838724290832,-0.4098477134863463,POS,POS,,LogisticRegression,,0.623484962406015,SD,4
